-----------------  ----------------  ------  ----------  ----------  ----------  ----------  ----------
What is your name  What is your Age  Gender  Question 1  Question 2  Question 3  Question 4  Question 5
yoana              23                F       y           n           n           y           n
asdas              334               f       y           n           y           n           y
23434              34                f       n           n           n           y           y
asd                2                 f       n           n           n           n           n
kristina           30                F       Y           N           Y           N           Y
dfsd               3                 f       n           n           n           n           n
test               23                f       n           n           n           n           n
asdads             34                m       n           n           n           n           n
-----------------  ----------------  ------  ----------  ----------  ----------  ----------  ----------
